Drug,DrugBank_ID,Approval_Status,Original_Indication,Malaria_Mechanism,pChEMBL,Cost_INR,NLEM,Repurpose_Score,Base_Score,Cost_Score,NLEM_Score,Potency_Score,Mechanism_Score
Artesunate,DB06403,Approved,Malaria,Heme alkylation + ROS,9.2,100,Yes,0.9750000000000001,0.98,0.9,1.0,1.0,1.0
Artemether-Lumefantrine,DB06708,Approved,Malaria,Heme alkylation,9.0,150,Yes,0.9673076923076924,0.98,0.9,1.0,0.9615384615384617,1.0
Primaquine,DB01087,Approved,Malaria,Radical cure P.vivax,8.0,50,Yes,0.9188461538461539,0.9,1.0,1.0,0.7692307692307694,0.95
Doxycycline,DB00254,Approved,Infection,Apicoplast protein,8.0,50,Yes,0.8863461538461539,0.85,1.0,1.0,0.7692307692307694,0.85
Atorvastatin,DB01076,Approved,Hyperlipidemia,Endothelial protection,8.5,100,Yes,0.8830769230769232,0.8,0.9,1.0,0.8653846153846155,0.9
Methylene_Blue,DB09241,Approved,Methemoglobin,Gametocyte killing,7.0,50,Yes,0.8453846153846155,0.8,1.0,1.0,0.576923076923077,0.9
Chloroquine,DB00608,Approved,Malaria,Heme polymerization,8.5,30,Yes,0.8180769230769231,0.7,1.0,1.0,0.8653846153846155,0.6
Mefloquine,DB00358,Approved,Malaria,Multiple,8.2,200,Yes,0.7990384615384616,0.75,0.9,1.0,0.8076923076923077,0.6
Ibuprofen,DB01050,Approved,Pain,Anti-inflammatory,7.5,20,Yes,0.7846153846153846,0.72,1.0,1.0,0.6730769230769231,0.6
Azithromycin,DB00207,Approved,Infection,Apicoplast ribosome,7.5,100,Yes,0.7721153846153846,0.75,0.9,1.0,0.6730769230769231,0.6
N-Acetylcysteine,DB06151,Approved,Mucolytic,Antioxidant ROS,5.5,200,Yes,0.7701923076923077,0.85,0.9,1.0,0.2884615384615385,0.85
Pentoxifylline,DB00806,Approved,Claudication,Anti-TNF rheology,6.2,150,Yes,0.7496153846153847,0.7,0.9,1.0,0.4230769230769232,0.8
L-Arginine,DB00125,Approved,Supplement,NO donor,5.0,200,Yes,0.7159615384615385,0.75,0.9,1.0,0.19230769230769235,0.8
Zinc,DB14533,Approved,Supplement,Immune support,4.0,50,Yes,0.67,0.8,1.0,1.0,0.0,0.6
Vitamin_E,DB00163,Approved,Deficiency,RBC membrane protection,4.0,100,Yes,0.6675000000000001,0.75,0.9,1.0,0.0,0.75
Heparin,DB01109,Approved,Anticoagulation,Anti-rosetting,6.0,500,Yes,0.661923076923077,0.7,0.7,1.0,0.3846153846153847,0.6
Rosiglitazone,DB00412,Approved,Diabetes,PPAR-gamma anti-inflam,8.2,300,No,0.6590384615384616,0.65,0.7,0.5,0.8076923076923077,0.6
Folic_acid,DB00158,Approved,Supplement,RBC production,4.0,20,Yes,0.6575,0.75,1.0,1.0,0.0,0.6
Erythropoietin,DB00016,Approved,Anemia,RBC recovery,8.0,2000,No,0.6113461538461539,0.65,0.5,0.5,0.7692307692307694,0.6
Deferoxamine,DB00746,Approved,Iron overload,Iron chelation,7.0,5000,No,0.5203846153846154,0.6,0.3,0.5,0.576923076923077,0.6
